Dia de Data Registro Vacina;Dose;Contagem de Dose
10 de abril de 2021;1° DOSE;67684
9 de abril de 2021;1° DOSE;43160
8 de abril de 2021;1° DOSE;58246
7 de abril de 2021;1° DOSE;94562
6 de abril de 2021;1° DOSE;124228
5 de abril de 2021;1° DOSE;116538
4 de abril de 2021;1° DOSE;5691
3 de abril de 2021;1° DOSE;42094
2 de abril de 2021;1° DOSE;49354
1 de abril de 2021;1° DOSE;91084
31 de março de 2021;1° DOSE;84184
30 de março de 2021;1° DOSE;112992
29 de março de 2021;1° DOSE;159882
28 de março de 2021;1° DOSE;16831
27 de março de 2021;1° DOSE;102909
26 de março de 2021;1° DOSE;211700
25 de março de 2021;1° DOSE;125297
24 de março de 2021;1° DOSE;90207
23 de março de 2021;1° DOSE;104695
22 de março de 2021;1° DOSE;139352
21 de março de 2021;1° DOSE;13931
20 de março de 2021;1° DOSE;91078
19 de março de 2021;1° DOSE;193279
18 de março de 2021;1° DOSE;78784
17 de março de 2021;1° DOSE;79740
16 de março de 2021;1° DOSE;82641
15 de março de 2021;1° DOSE;131404
14 de março de 2021;1° DOSE;9398
13 de março de 2021;1° DOSE;29732
12 de março de 2021;1° DOSE;55658
11 de março de 2021;1° DOSE;56581
10 de março de 2021;1° DOSE;59924
9 de março de 2021;1° DOSE;69375
8 de março de 2021;1° DOSE;73870
7 de março de 2021;1° DOSE;11955
6 de março de 2021;1° DOSE;49055
5 de março de 2021;1° DOSE;79201
4 de março de 2021;1° DOSE;106432
3 de março de 2021;1° DOSE;130662
2 de março de 2021;1° DOSE;99017
1 de março de 2021;1° DOSE;112733
28 de fevereiro de 2021;1° DOSE;13740
27 de fevereiro de 2021;1° DOSE;49717
26 de fevereiro de 2021;1° DOSE;22648
25 de fevereiro de 2021;1° DOSE;24713
24 de fevereiro de 2021;1° DOSE;26817
23 de fevereiro de 2021;1° DOSE;33940
22 de fevereiro de 2021;1° DOSE;37670
21 de fevereiro de 2021;1° DOSE;5985
20 de fevereiro de 2021;1° DOSE;16302
19 de fevereiro de 2021;1° DOSE;43123
18 de fevereiro de 2021;1° DOSE;50278
17 de fevereiro de 2021;1° DOSE;51949
16 de fevereiro de 2021;1° DOSE;53767
15 de fevereiro de 2021;1° DOSE;68503
14 de fevereiro de 2021;1° DOSE;7180
13 de fevereiro de 2021;1° DOSE;30004
12 de fevereiro de 2021;1° DOSE;107409
11 de fevereiro de 2021;1° DOSE;94606
10 de fevereiro de 2021;1° DOSE;82701
9 de fevereiro de 2021;1° DOSE;110518
8 de fevereiro de 2021;1° DOSE;101339
7 de fevereiro de 2021;1° DOSE;14154
6 de fevereiro de 2021;1° DOSE;43689
5 de fevereiro de 2021;1° DOSE;90654
4 de fevereiro de 2021;1° DOSE;80178
3 de fevereiro de 2021;1° DOSE;70547
2 de fevereiro de 2021;1° DOSE;58732
1 de fevereiro de 2021;1° DOSE;56141
31 de janeiro de 2021;1° DOSE;6006
30 de janeiro de 2021;1° DOSE;21980
29 de janeiro de 2021;1° DOSE;55667
28 de janeiro de 2021;1° DOSE;70869
27 de janeiro de 2021;1° DOSE;38145
26 de janeiro de 2021;1° DOSE;44157
25 de janeiro de 2021;1° DOSE;21306
24 de janeiro de 2021;1° DOSE;6378
23 de janeiro de 2021;1° DOSE;16868
22 de janeiro de 2021;1° DOSE;51630
21 de janeiro de 2021;1° DOSE;32084
20 de janeiro de 2021;1° DOSE;14214
19 de janeiro de 2021;1° DOSE;7452
18 de janeiro de 2021;1° DOSE;877
17 de janeiro de 2021;1° DOSE;100
19 de setembro de 2021;2° DOSE;1
25 de agosto de 2021;2° DOSE;208429
24 de agosto de 2021;2° DOSE;278584
23 de agosto de 2021;2° DOSE;310468
22 de agosto de 2021;2° DOSE;22407
21 de agosto de 2021;2° DOSE;145423
20 de agosto de 2021;2° DOSE;384717
19 de agosto de 2021;2° DOSE;381095
18 de agosto de 2021;2° DOSE;424743
17 de agosto de 2021;2° DOSE;390383
16 de agosto de 2021;2° DOSE;363373
15 de agosto de 2021;2° DOSE;47216
14 de agosto de 2021;2° DOSE;197882
13 de agosto de 2021;2° DOSE;261494
12 de agosto de 2021;2° DOSE;226736
11 de agosto de 2021;2° DOSE;190065
10 de agosto de 2021;2° DOSE;217999
9 de agosto de 2021;2° DOSE;213303
8 de agosto de 2021;2° DOSE;67762
7 de agosto de 2021;2° DOSE;119860
6 de agosto de 2021;2° DOSE;229737
5 de agosto de 2021;2° DOSE;174892
4 de agosto de 2021;2° DOSE;213094
3 de agosto de 2021;2° DOSE;135736
2 de agosto de 2021;2° DOSE;140354
1 de agosto de 2021;2° DOSE;7530
31 de julho de 2021;2° DOSE;105839
30 de julho de 2021;2° DOSE;180807
29 de julho de 2021;2° DOSE;304746
28 de julho de 2021;2° DOSE;197620
27 de julho de 2021;2° DOSE;193775
26 de julho de 2021;2° DOSE;152595
25 de julho de 2021;2° DOSE;23786
24 de julho de 2021;2° DOSE;86494
23 de julho de 2021;2° DOSE;186803
22 de julho de 2021;2° DOSE;244884
21 de julho de 2021;2° DOSE;230619
20 de julho de 2021;2° DOSE;123154
19 de julho de 2021;2° DOSE;125514
18 de julho de 2021;2° DOSE;6087
17 de julho de 2021;2° DOSE;103373
16 de julho de 2021;2° DOSE;192025
15 de julho de 2021;2° DOSE;144699
14 de julho de 2021;2° DOSE;161748
13 de julho de 2021;2° DOSE;73434
12 de julho de 2021;2° DOSE;67064
11 de julho de 2021;2° DOSE;3259
10 de julho de 2021;2° DOSE;20389
9 de julho de 2021;2° DOSE;24973
8 de julho de 2021;2° DOSE;45967
7 de julho de 2021;2° DOSE;49652
6 de julho de 2021;2° DOSE;43760
5 de julho de 2021;2° DOSE;36593
4 de julho de 2021;2° DOSE;1299
3 de julho de 2021;2° DOSE;12125
2 de julho de 2021;2° DOSE;18535
1 de julho de 2021;2° DOSE;11888
30 de junho de 2021;2° DOSE;11014
29 de junho de 2021;2° DOSE;11469
28 de junho de 2021;2° DOSE;12802
27 de junho de 2021;2° DOSE;567
26 de junho de 2021;2° DOSE;6477
25 de junho de 2021;2° DOSE;8989
24 de junho de 2021;2° DOSE;9095
23 de junho de 2021;2° DOSE;11908
22 de junho de 2021;2° DOSE;9604
21 de junho de 2021;2° DOSE;8783
20 de junho de 2021;2° DOSE;860
19 de junho de 2021;2° DOSE;6994
18 de junho de 2021;2° DOSE;10630
17 de junho de 2021;2° DOSE;11351
16 de junho de 2021;2° DOSE;9286
15 de junho de 2021;2° DOSE;10869
14 de junho de 2021;2° DOSE;10666
13 de junho de 2021;2° DOSE;690
12 de junho de 2021;2° DOSE;3628
11 de junho de 2021;2° DOSE;10710
10 de junho de 2021;2° DOSE;13015
9 de junho de 2021;2° DOSE;14180
8 de junho de 2021;2° DOSE;16478
7 de junho de 2021;2° DOSE;23372
6 de junho de 2021;2° DOSE;1001
5 de junho de 2021;2° DOSE;26509
4 de junho de 2021;2° DOSE;22327
3 de junho de 2021;2° DOSE;22768
2 de junho de 2021;2° DOSE;39946
1 de junho de 2021;2° DOSE;55938
31 de maio de 2021;2° DOSE;39577
30 de maio de 2021;2° DOSE;2422
29 de maio de 2021;2° DOSE;22366
28 de maio de 2021;2° DOSE;44505
27 de maio de 2021;2° DOSE;52147
26 de maio de 2021;2° DOSE;60180
25 de maio de 2021;2° DOSE;72926
24 de maio de 2021;2° DOSE;84869
23 de maio de 2021;2° DOSE;6247
22 de maio de 2021;2° DOSE;38892
21 de maio de 2021;2° DOSE;52015
20 de maio de 2021;2° DOSE;33823
19 de maio de 2021;2° DOSE;42024
18 de maio de 2021;2° DOSE;65146
17 de maio de 2021;2° DOSE;18419
16 de maio de 2021;2° DOSE;3308
15 de maio de 2021;2° DOSE;19272
14 de maio de 2021;2° DOSE;27081
13 de maio de 2021;2° DOSE;29341
12 de maio de 2021;2° DOSE;40020
11 de maio de 2021;2° DOSE;57454
10 de maio de 2021;2° DOSE;65982
9 de maio de 2021;2° DOSE;2917
8 de maio de 2021;2° DOSE;37905
7 de maio de 2021;2° DOSE;71485
6 de maio de 2021;2° DOSE;46048
5 de maio de 2021;2° DOSE;80206
4 de maio de 2021;2° DOSE;93607
3 de maio de 2021;2° DOSE;112098
2 de maio de 2021;2° DOSE;3735
1 de maio de 2021;2° DOSE;35825
30 de abril de 2021;2° DOSE;77923
29 de abril de 2021;2° DOSE;80344
28 de abril de 2021;2° DOSE;116246
27 de abril de 2021;2° DOSE;110689
26 de abril de 2021;2° DOSE;120481
25 de abril de 2021;2° DOSE;9113
24 de abril de 2021;2° DOSE;63701
23 de abril de 2021;2° DOSE;149271
22 de abril de 2021;2° DOSE;132678
21 de abril de 2021;2° DOSE;55995
20 de abril de 2021;2° DOSE;148167
19 de abril de 2021;2° DOSE;138229
18 de abril de 2021;2° DOSE;17467
17 de abril de 2021;2° DOSE;82450
16 de abril de 2021;2° DOSE;233499
15 de abril de 2021;2° DOSE;122865
14 de abril de 2021;2° DOSE;82885
13 de abril de 2021;2° DOSE;91514
12 de abril de 2021;2° DOSE;127527
11 de abril de 2021;2° DOSE;13980
10 de abril de 2021;2° DOSE;56523
9 de abril de 2021;2° DOSE;167189
8 de abril de 2021;2° DOSE;68559
7 de abril de 2021;2° DOSE;77340
6 de abril de 2021;2° DOSE;99131
5 de abril de 2021;2° DOSE;109000
4 de abril de 2021;2° DOSE;5488
3 de abril de 2021;2° DOSE;15513
2 de abril de 2021;2° DOSE;7342
1 de abril de 2021;2° DOSE;43114
31 de março de 2021;2° DOSE;58688
30 de março de 2021;2° DOSE;50586
29 de março de 2021;2° DOSE;45619
28 de março de 2021;2° DOSE;5582
27 de março de 2021;2° DOSE;13811
26 de março de 2021;2° DOSE;31365
25 de março de 2021;2° DOSE;39839
24 de março de 2021;2° DOSE;53574
23 de março de 2021;2° DOSE;21408
22 de março de 2021;2° DOSE;19019
21 de março de 2021;2° DOSE;2440
20 de março de 2021;2° DOSE;6368
19 de março de 2021;2° DOSE;18179
18 de março de 2021;2° DOSE;25401
17 de março de 2021;2° DOSE;32222
16 de março de 2021;2° DOSE;25511
15 de março de 2021;2° DOSE;29302
14 de março de 2021;2° DOSE;1794
13 de março de 2021;2° DOSE;11731
12 de março de 2021;2° DOSE;43244
11 de março de 2021;2° DOSE;48094
10 de março de 2021;2° DOSE;47795
9 de março de 2021;2° DOSE;50642
8 de março de 2021;2° DOSE;49607
7 de março de 2021;2° DOSE;4709
6 de março de 2021;2° DOSE;24886
5 de março de 2021;2° DOSE;63025
4 de março de 2021;2° DOSE;59716
3 de março de 2021;2° DOSE;59800
2 de março de 2021;2° DOSE;59329
1 de março de 2021;2° DOSE;27997
28 de fevereiro de 2021;2° DOSE;3332
27 de fevereiro de 2021;2° DOSE;8489
26 de fevereiro de 2021;2° DOSE;32292
25 de fevereiro de 2021;2° DOSE;20817
24 de fevereiro de 2021;2° DOSE;22635
23 de fevereiro de 2021;2° DOSE;26175
22 de fevereiro de 2021;2° DOSE;28697
21 de fevereiro de 2021;2° DOSE;2162
20 de fevereiro de 2021;2° DOSE;7463
19 de fevereiro de 2021;2° DOSE;40957
18 de fevereiro de 2021;2° DOSE;52833
17 de fevereiro de 2021;2° DOSE;53773
16 de fevereiro de 2021;2° DOSE;56224
15 de fevereiro de 2021;2° DOSE;51849
14 de fevereiro de 2021;2° DOSE;9350
13 de fevereiro de 2021;2° DOSE;12388
12 de fevereiro de 2021;2° DOSE;50935
11 de fevereiro de 2021;2° DOSE;32519
10 de fevereiro de 2021;2° DOSE;4303
9 de fevereiro de 2021;2° DOSE;1012
8 de fevereiro de 2021;2° DOSE;410
7 de fevereiro de 2021;2° DOSE;25
6 de fevereiro de 2021;2° DOSE;69
5 de fevereiro de 2021;2° DOSE;38
4 de fevereiro de 2021;2° DOSE;22
3 de fevereiro de 2021;2° DOSE;15
2 de fevereiro de 2021;2° DOSE;7
1 de fevereiro de 2021;2° DOSE;47
30 de janeiro de 2021;2° DOSE;1
29 de janeiro de 2021;2° DOSE;7
28 de janeiro de 2021;2° DOSE;35
27 de janeiro de 2021;2° DOSE;3
26 de janeiro de 2021;2° DOSE;4
25 de janeiro de 2021;2° DOSE;3
23 de janeiro de 2021;2° DOSE;6
22 de janeiro de 2021;2° DOSE;10
21 de janeiro de 2021;2° DOSE;1
20 de janeiro de 2021;2° DOSE;1
18 de janeiro de 2021;2° DOSE;2
25 de agosto de 2021;UNICA;322
24 de agosto de 2021;UNICA;1391
23 de agosto de 2021;UNICA;1085
22 de agosto de 2021;UNICA;252
21 de agosto de 2021;UNICA;1152
20 de agosto de 2021;UNICA;1510
19 de agosto de 2021;UNICA;2431
18 de agosto de 2021;UNICA;2679
17 de agosto de 2021;UNICA;1716
16 de agosto de 2021;UNICA;1648
15 de agosto de 2021;UNICA;1864
14 de agosto de 2021;UNICA;1978
13 de agosto de 2021;UNICA;3783
12 de agosto de 2021;UNICA;3326
11 de agosto de 2021;UNICA;1578
10 de agosto de 2021;UNICA;2387
9 de agosto de 2021;UNICA;2898
8 de agosto de 2021;UNICA;570
7 de agosto de 2021;UNICA;2084
6 de agosto de 2021;UNICA;2787
5 de agosto de 2021;UNICA;1467
4 de agosto de 2021;UNICA;2212
3 de agosto de 2021;UNICA;3640
2 de agosto de 2021;UNICA;3278
1 de agosto de 2021;UNICA;164
31 de julho de 2021;UNICA;2961
30 de julho de 2021;UNICA;5097
29 de julho de 2021;UNICA;6159
28 de julho de 2021;UNICA;6531
27 de julho de 2021;UNICA;4952
26 de julho de 2021;UNICA;6339
25 de julho de 2021;UNICA;1105
24 de julho de 2021;UNICA;5198
23 de julho de 2021;UNICA;7678
22 de julho de 2021;UNICA;8099
21 de julho de 2021;UNICA;8042
20 de julho de 2021;UNICA;11662
19 de julho de 2021;UNICA;12246
18 de julho de 2021;UNICA;2261
17 de julho de 2021;UNICA;38576
16 de julho de 2021;UNICA;32095
15 de julho de 2021;UNICA;36555
14 de julho de 2021;UNICA;44565
13 de julho de 2021;UNICA;54549
12 de julho de 2021;UNICA;56360
11 de julho de 2021;UNICA;3290
10 de julho de 2021;UNICA;36736
9 de julho de 2021;UNICA;87604
8 de julho de 2021;UNICA;120767
7 de julho de 2021;UNICA;158235
6 de julho de 2021;UNICA;66445
5 de julho de 2021;UNICA;13273
4 de julho de 2021;UNICA;615
3 de julho de 2021;UNICA;10643
2 de julho de 2021;UNICA;20418
1 de julho de 2021;UNICA;33512
30 de junho de 2021;UNICA;37766
29 de junho de 2021;UNICA;49631
28 de junho de 2021;UNICA;101533
26 de junho de 2021;UNICA;35
16 de junho de 2021;UNICA;1
1 de junho de 2021;UNICA;1
28 de maio de 2021;UNICA;1
22 de maio de 2021;UNICA;1
27 de abril de 2021;UNICA;1
24 de abril de 2021;UNICA;1
